participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decisions,player.decisions_initial,player.decisions_final,player.show_ai,player.points,player.decisions_result,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,97w8nlvk,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:32:49.351542+00:00,1,,,430,1,"{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Reject"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}",,10,"{""1438057"": 0, ""1534293"": -10, ""1470353"": 0, ""3158207"": 0, ""1529432"": 0, ""1334596"": 10, ""3235599"": 0, ""1857226"": 0, ""1625556"": 0, ""1439480"": 10}",1,1,10,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
2,t0q2jra3,,0,0,80,,,,,,0,,,0,2,{},{},{},,0,{},1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
3,358jr8oq,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:37.452481+00:00,1,,,400,3,"{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Approve"",""1529432"":""Approve"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject"",""3235599"":""Reject""}",,20,"{""1438057"": 0, ""1534293"": -10, ""1470353"": 0, ""3158207"": 0, ""1529432"": 0, ""1334596"": 10, ""3235599"": 0, ""1857226"": 10, ""1625556"": 0, ""1439480"": 10}",1,1,20,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
4,8cvc04gz,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:34:11.371838+00:00,1,,,460,4,"{""1334596"":""Approve"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Approve"",""3235599"":""Reject""}","{""1334596"":""Approve"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Approve"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Approve"",""3235599"":""Reject""}",,0,"{""1438057"": 0, ""1534293"": -10, ""1470353"": 0, ""3158207"": 10, ""1529432"": 0, ""1334596"": -10, ""3235599"": 0, ""1857226"": 0, ""1625556"": 0, ""1439480"": 10}",1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
5,49t42mv8,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:09.147859+00:00,1,,,450,5,"{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Approve""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Reject"",""3158207"":""Reject"",""3235599"":""Reject""}",,10,"{""1438057"": 0, ""1534293"": -10, ""1470353"": 0, ""3158207"": 0, ""1529432"": 0, ""1334596"": 10, ""3235599"": 0, ""1857226"": 0, ""1625556"": 0, ""1439480"": 10}",1,1,10,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
6,xov5hjox,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:35:13.184022+00:00,1,,,450,6,"{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject"",""3235599"":""Reject""}","{""1334596"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject""}","{""1334596"":""Reject"",""1438057"":""Reject"",""1439480"":""Approve"",""1470353"":""Reject"",""1529432"":""Reject"",""1534293"":""Approve"",""1625556"":""Reject"",""1857226"":""Approve"",""3158207"":""Reject"",""3235599"":""Reject""}",,20,"{""1438057"": 0, ""1534293"": -10, ""1470353"": 0, ""3158207"": 0, ""1529432"": 0, ""1334596"": 10, ""3235599"": 0, ""1857226"": 10, ""1625556"": 0, ""1439480"": 10}",1,1,20,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
7,4qwb2mjv,,0,0,80,,,,,,0,,,0,7,{},{},{},,0,{},1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
8,oh1ejy0h,,0,0,80,,,,,,0,,,0,8,{},{},{},,0,{},1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
9,h1zrsuuv,,0,0,80,,,,,,0,,,0,9,{},{},{},,0,{},1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
10,inw3xrnp,,0,0,80,,,,,,0,,,0,10,{},{},{},,0,{},1,1,0,1,1,1,c6ngv30x,sep24-11:30-part1,,,,,0
