"","round","loan_id","p1_dec","p2_dec","p3_dec","p4_dec","p5_dec","p6_dec","p7_dec","p8_dec","p9_dec","p10_dec"
"1",1,"1334596","Reject",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"2",1,"1438057","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"3",1,"1439480","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"4",1,"1470353","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"5",1,"1529432","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"6",1,"1534293","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"7",1,"1625556","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"8",1,"1857226","Reject",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"9",1,"3158207","Reject",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"10",1,"3235599","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"11",2,"1227988","Approve",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"12",2,"1325134","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"13",2,"1347768","Reject",NA,"Approve","Reject","Reject","Reject",NA,NA,NA,NA
"14",2,"1508178","Reject",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"15",2,"1531491","Approve",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"16",2,"1683861","Reject",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"17",2,"1866661","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"18",2,"2175528","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"19",2,"3105437","Reject",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"20",2,"3154245","Approve",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"21",3,"1358466","Approve",NA,"Approve","Reject","Approve","Approve",NA,NA,NA,NA
"22",3,"1530989","Reject",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"23",3,"2215152","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"24",3,"2485187","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"25",3,"2794690","Approve",NA,"Approve","Reject","Approve","Reject",NA,NA,NA,NA
"26",3,"3155053","Reject",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"27",3,"3155823","Reject",NA,"Reject","Approve","Reject","Approve",NA,NA,NA,NA
"28",3,"3161131","Reject",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"29",3,"3198607","Reject",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"30",3,"3235332","Approve",NA,"Approve","Reject","Approve","Approve",NA,NA,NA,NA
"31",4,"1282615","Reject",NA,"Reject","Reject","Reject","Approve",NA,NA,NA,NA
"32",4,"1677240","Approve",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"33",4,"1687729","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"34",4,"1816424","Reject",NA,"Reject","Reject","Approve","Reject",NA,NA,NA,NA
"35",4,"2309025","Reject",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"36",4,"2383131","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"37",4,"2836762","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"38",4,"2905247","Reject",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"39",4,"3159632","Approve",NA,"Reject","Reject","Approve","Reject",NA,NA,NA,NA
"40",4,"3163768","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"41",5,"1286676","Approve",NA,"Approve","Reject","Reject","Reject",NA,NA,NA,NA
"42",5,"1411592","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"43",5,"1468720","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"44",5,"1587833","Reject",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"45",5,"1600462","Reject",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"46",5,"1608199","Reject",NA,"Reject","Reject","Approve","Reject",NA,NA,NA,NA
"47",5,"2365728","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"48",5,"2379196","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"49",5,"3160349","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"50",5,"3265412","Approve",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"51",6,"1403327","Approve",NA,"Approve","Reject","Reject","Reject",NA,NA,NA,NA
"52",6,"1455164","Approve",NA,"Reject","Reject","Approve","Approve",NA,NA,NA,NA
"53",6,"1490388","Approve",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"54",6,"1524519","Approve",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"55",6,"1696113","Reject",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"56",6,"2080779","Approve",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"57",6,"2218127","Approve",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"58",6,"2794783","Approve",NA,"Approve",NA,"Reject","Reject",NA,NA,NA,NA
"59",6,"2826396","Reject",NA,"Reject","Approve","Reject","Reject",NA,NA,NA,NA
"60",6,"3236738","Approve",NA,"Reject","Approve","Approve","Reject",NA,NA,NA,NA
"61",7,"1295173","Approve",NA,"Approve","Reject","Approve","Approve",NA,NA,NA,NA
"62",7,"1343768","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"63",7,"1416499","Approve",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"64",7,"1446006","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"65",7,"1549100","Reject",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"66",7,"1593711","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"67",7,"1608526","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"68",7,"2089773","Approve",NA,"Approve","Approve","Reject","Reject",NA,NA,NA,NA
"69",7,"2217033","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"70",7,"3296223","Reject",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"71",8,"1313388","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"72",8,"1318579","Approve",NA,"Approve","Reject","Approve","Approve",NA,NA,NA,NA
"73",8,"1428542","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"74",8,"1510063","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"75",8,"1544722","Reject",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"76",8,"1559058","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
